x,y,source,highlight
0.19541973,-0.09716325,query,2
-0.1219317,0.122001015,client.py,0
-0.17725277,-0.12042667,client.py,0
-0.07703364,-0.022777721,client.py,0
-0.15118526,-0.095341496,client.py,0
-0.17055722,-0.23548365,client.py,0
-0.16558635,-0.2906832,client.py,0
-0.13774832,-0.23399997,client.py,0
-0.0931284,-0.02640815,client.py,0
-0.000351323,0.03741817,client.py,0
-0.15491654,-0.20382953,client.py,0
-0.034062464,-0.054087132,client.py,0
-0.11261988,0.1720756,client.py,0
-0.10444465,0.112298876,client.py,0
-0.038974144,0.05563134,client.py,0
-0.07715036,0.15937081,client.py,0
-0.09068291,0.20345835,client.py,0
-0.10415306,0.07639006,client.py,0
-0.15705112,0.061541285,client.py,0
-0.11769639,0.10823236,client.py,0
-0.046572953,0.051551513,client.py,0
0.075387746,0.04545014,client.py,0
0.026988981,-0.019268552,client.py,0
0.1326685,-0.03319849,client.py,0
-0.12615179,0.02148262,client.py,0
-0.06083961,0.013098142,client.py,0
-0.11982284,0.09300783,client.py,0
-0.06182058,0.35085833,client.py,0
-0.2978589,-0.113905914,client.py,0
-0.23763669,0.19196022,client.py,0
-0.2514914,0.10151928,client.py,0
-0.3167438,-0.111716054,client.py,0
-0.2987725,-0.016779838,client.py,0
-0.29441613,-0.015527898,client.py,0
-0.29810145,-0.12148084,client.py,0
-0.28940654,-0.12558694,client.py,0
-0.29722658,-0.12155805,client.py,0
-0.21368675,-0.05613497,client.py,0
-0.23576401,-0.018757973,client.py,0
-0.2632829,-0.08666741,client.py,0
-0.28713533,-0.078258865,client.py,0
-0.23605843,-0.12110128,client.py,0
-0.09988822,-0.064853474,client.py,0
0.012080655,0.1481863,client.py,0
-0.095738165,0.16103917,client.py,0
-0.08606312,-0.07705824,client.py,0
-0.106294274,-0.013493007,client.py,0
-0.20358676,-0.13929924,client.py,0
-0.0943044,-0.12736657,client.py,0
-0.100009136,-0.12706168,client.py,0
-0.1346529,-0.18371889,client.py,0
-0.08253074,0.0819481,client.py,0
-0.0528224,0.12444933,client.py,0
-0.20094666,-0.023774639,client.py,0
-0.047618005,-0.16196212,client.py,0
-0.09242011,0.00902849,client.py,0
-0.11279888,0.052309327,client.py,0
-0.10559643,0.096785605,client.py,0
-0.21639015,0.0633219,client.py,0
-0.13587116,0.0770382,client.py,0
-0.13618009,-0.01010157,client.py,0
-0.13651867,-0.03328292,client.py,0
-0.2144672,-0.010924404,client.py,0
-0.13449176,0.058910582,client.py,0
-0.13017237,0.12866165,client.py,0
-0.1818081,0.11379615,client.py,0
-0.28347108,-0.002607674,client.py,0
-0.27950326,-0.05982902,client.py,0
-0.18779002,0.01558483,client.py,0
-0.26691648,-0.098519266,client.py,0
-0.31413475,-0.001956297,client.py,0
-0.24522734,0.035093915,client.py,0
-0.33377427,-0.11464141,client.py,0
-0.25663185,-0.045515373,client.py,0
-0.2898355,-0.10402714,client.py,0
-0.27987134,0.05957639,client.py,0
-0.06860647,0.102678806,client.py,0
-0.12987076,0.20562778,client.py,0
-0.22677214,0.06813084,client.py,0
-0.29344517,-0.1461299,client.py,0
-0.23369114,-0.022846518,client.py,0
-0.23797959,-0.123922035,client.py,0
-0.17578639,-0.029582508,client.py,0
-0.22782236,-0.07972537,client.py,0
-0.2809489,0.024356557,client.py,0
-0.14502516,-0.03711291,client.py,0
-0.23844221,-0.10684798,client.py,0
